tarih,ürün,kategori,satış_miktarı,birim_fiyat,bölge
2026-10-14,Ürün A,Ev,56,344.46,Konya
2026-10-12,Ürün C,Elektronik,391,166.25,Bursa
2026-01-18,Ürün A,Elektronik,54,318.54,Adana
2026-09-23,Ürün C,Elektronik,499,177.48,İstanbul
2026-03-13,Ürün A,Ev,263,340.01,Ankara
2026-05-06,Ürün B,Ev,159,116.68,Gaziantep
2026-09-23,Ürün A,Ev,126,281.45,Ankara
2026-03-21,Ürün C,Elektronik,321,166.53,Antalya
2026-01-24,Ürün A,Ev,169,266.49,Ankara
2026-02-06,Ürün B,Giyim,87,110.28,İzmir
2026-01-11,Ürün C,Elektronik,353,125.08,İstanbul
2026-08-26,Ürün C,Giyim,188,188.41,Gaziantep
2026-02-18,Ürün C,Ev,260,185.03,Gaziantep
2026-11-27,Ürün B,Elektronik,367,70.63,Adana
2026-11-10,Ürün A,Elektronik,232,340.82,Gaziantep
2026-07-06,Ürün A,Elektronik,341,328.0,İzmir
2026-02-06,Ürün B,Ev,491,101.77,İzmir
2026-09-17,Ürün B,Ev,464,103.14,Gaziantep
2026-10-14,Ürün C,Elektronik,375,154.93,Antalya
2026-05-13,Ürün C,Ev,24,128.15,Bursa
2026-04-26,Ürün C,Giyim,394,135.31,Bursa
2026-04-01,Ürün C,Elektronik,458,163.25,Antalya
2026-08-20,Ürün C,Giyim,142,150.76,Gaziantep
2026-04-10,Ürün C,Ev,213,121.84,Konya
2026-09-20,Ürün B,Elektronik,412,108.12,İzmir
2026-08-24,Ürün C,Giyim,263,185.89,İzmir
2026-12-25,Ürün C,Elektronik,446,129.74,İstanbul
2026-07-20,Ürün B,Ev,304,110.02,Konya
2026-02-08,Ürün A,Ev,129,312.08,Bursa
2026-11-05,Ürün B,Elektronik,332,72.0,İstanbul
2026-03-27,Ürün A,Elektronik,442,330.46,İzmir
2026-12-13,Ürün B,Giyim,481,106.04,Ankara
2026-09-04,Ürün C,Giyim,402,166.03,İstanbul
2026-01-04,Ürün C,Elektronik,379,128.99,Ankara
2026-07-21,Ürün A,Ev,262,349.08,Adana
2026-10-19,Ürün A,Giyim,85,253.28,Ankara
2026-08-28,Ürün B,Ev,30,90.59,Konya
2026-05-25,Ürün C,Giyim,353,175.52,İstanbul
2026-04-02,Ürün B,Giyim,157,113.05,Gaziantep
2026-05-29,Ürün A,Elektronik,50,349.87,İzmir
2026-03-14,Ürün A,Elektronik,183,291.85,Ankara
2026-02-16,Ürün B,Giyim,337,87.65,İzmir
2026-03-09,Ürün A,Elektronik,387,258.16,Konya
2026-03-26,Ürün B,Ev,282,74.59,Konya
2026-12-06,Ürün B,Giyim,464,75.03,Ankara
2026-10-04,Ürün C,Elektronik,79,156.29,Adana
2026-03-17,Ürün A,Giyim,490,290.38,Gaziantep
2026-09-28,Ürün B,Ev,179,119.79,Bursa
2026-11-11,Ürün C,Elektronik,416,139.02,Adana
2026-02-26,Ürün C,Ev,280,162.97,Konya
2026-03-31,Ürün A,Giyim,276,258.42,Gaziantep
2026-12-22,Ürün B,Elektronik,458,113.48,Bursa
2026-08-10,Ürün B,Elektronik,187,83.21,Bursa
2026-04-21,Ürün B,Elektronik,336,76.95,Ankara
2026-05-23,Ürün C,Ev,183,170.84,Gaziantep
2026-12-05,Ürün A,Elektronik,223,307.8,Antalya
2026-05-22,Ürün A,Giyim,165,324.88,Adana
2026-03-06,Ürün B,Giyim,450,73.6,Gaziantep
2026-10-22,Ürün A,Elektronik,342,286.2,Bursa
2026-07-03,Ürün B,Ev,192,98.81,İstanbul
2026-06-04,Ürün A,Giyim,37,283.33,Gaziantep
2026-12-08,Ürün C,Ev,481,184.46,Ankara
2026-07-27,Ürün A,Ev,111,274.13,Konya
2026-03-01,Ürün B,Giyim,173,95.61,Adana
2026-10-12,Ürün B,Elektronik,69,81.91,Ankara
2026-06-04,Ürün A,Elektronik,42,288.92,Ankara
2026-01-09,Ürün C,Ev,287,127.63,Bursa
2026-08-15,Ürün B,Elektronik,400,74.34,Adana
2026-07-20,Ürün B,Elektronik,148,83.36,Konya
2026-04-27,Ürün A,Elektronik,210,347.22,İstanbul
2026-05-15,Ürün C,Ev,355,178.14,Gaziantep
2026-08-31,Ürün C,Giyim,462,132.65,Gaziantep
2026-03-21,Ürün A,Elektronik,363,339.75,Gaziantep
2026-07-29,Ürün A,Ev,328,250.28,Ankara
2026-11-22,Ürün A,Giyim,442,285.25,Gaziantep
2026-09-08,Ürün B,Giyim,383,109.46,Adana
2026-05-23,Ürün A,Giyim,465,318.14,Konya
2026-11-17,Ürün A,Elektronik,414,255.44,İzmir
2026-12-24,Ürün B,Ev,181,87.61,İzmir
2026-10-15,Ürün C,Elektronik,113,134.92,Antalya
2026-11-13,Ürün B,Elektronik,132,80.24,Ankara
2026-03-18,Ürün C,Elektronik,422,157.86,İzmir
2026-11-13,Ürün B,Ev,422,100.06,İzmir
2026-08-11,Ürün C,Ev,86,169.75,Gaziantep
2026-07-13,Ürün C,Elektronik,36,145.86,Bursa
2026-04-16,Ürün A,Elektronik,328,288.53,Bursa
2026-02-21,Ürün A,Elektronik,496,325.73,Antalya
2026-10-25,Ürün A,Giyim,62,250.09,Ankara
2026-09-23,Ürün C,Elektronik,78,130.35,İzmir
2026-05-06,Ürün B,Giyim,49,98.81,Adana
2026-10-20,Ürün C,Elektronik,293,134.45,Antalya
2026-07-17,Ürün C,Giyim,284,147.94,Ankara
2026-12-27,Ürün B,Giyim,41,111.21,Ankara
2026-03-02,Ürün C,Ev,450,173.19,Antalya
2026-05-10,Ürün B,Giyim,461,101.45,Ankara
2026-11-07,Ürün C,Elektronik,247,199.23,Adana
2026-04-15,Ürün B,Ev,246,114.91,İzmir
2026-09-19,Ürün C,Giyim,478,178.94,Ankara
2026-08-26,Ürün A,Elektronik,443,276.2,İstanbul
2026-08-24,Ürün A,Elektronik,65,258.66,İstanbul
2026-12-23,Ürün B,Ev,324,105.52,Bursa
2026-10-07,Ürün B,Elektronik,395,119.01,Gaziantep
2026-12-07,Ürün A,Giyim,221,329.98,İzmir
2026-05-28,Ürün C,Giyim,98,175.01,Bursa
2026-04-30,Ürün B,Giyim,23,108.61,İzmir
2026-02-21,Ürün B,Ev,214,93.25,Ankara
2026-10-25,Ürün A,Ev,186,257.77,Bursa
2026-09-18,Ürün B,Giyim,228,117.16,Ankara
2026-11-06,Ürün B,Elektronik,350,74.12,Konya
2026-11-15,Ürün A,Elektronik,63,346.92,Antalya
2026-07-04,Ürün A,Giyim,341,278.87,Konya
2026-05-21,Ürün C,Elektronik,309,125.45,Konya
2026-05-08,Ürün A,Elektronik,286,306.0,Ankara
2026-10-05,Ürün C,Giyim,155,123.55,Antalya
2026-08-07,Ürün A,Giyim,361,307.76,Bursa
2026-02-02,Ürün B,Ev,26,118.8,Antalya
2026-03-15,Ürün B,Giyim,434,73.31,İzmir
2026-08-14,Ürün A,Ev,436,254.88,Bursa
2026-08-18,Ürün B,Elektronik,105,95.22,Gaziantep
2026-09-03,Ürün B,Elektronik,429,113.23,Konya
2026-03-15,Ürün A,Giyim,186,348.97,Gaziantep
2026-01-01,Ürün A,Elektronik,304,275.59,Antalya
2026-02-19,Ürün A,Giyim,335,331.05,İzmir
2026-10-11,Ürün B,Elektronik,470,108.23,Gaziantep
2026-08-08,Ürün A,Elektronik,328,340.85,Antalya
2026-05-31,Ürün C,Giyim,164,134.95,Bursa
2026-11-27,Ürün A,Ev,22,258.74,İstanbul
2026-09-01,Ürün C,Elektronik,347,163.12,Bursa
2026-10-23,Ürün B,Ev,210,119.45,Ankara
2026-10-22,Ürün B,Elektronik,313,77.55,Bursa
2026-01-05,Ürün A,Giyim,55,280.08,İstanbul
2026-01-02,Ürün B,Ev,262,73.41,Gaziantep
2026-03-24,Ürün C,Giyim,399,161.27,Konya
2026-11-21,Ürün A,Ev,497,268.29,Adana
2026-10-15,Ürün A,Elektronik,195,256.18,Antalya
2026-04-02,Ürün A,Giyim,492,325.6,Adana
2026-03-17,Ürün A,Ev,142,317.74,Adana
2026-02-22,Ürün A,Giyim,114,344.51,İzmir
2026-03-22,Ürün B,Giyim,329,95.04,Adana
2026-07-19,Ürün C,Elektronik,440,152.51,Konya
2026-02-19,Ürün B,Giyim,68,92.96,Ankara
2026-06-03,Ürün B,Elektronik,457,93.69,İzmir
2026-03-04,Ürün C,Giyim,389,135.9,İzmir
2026-07-16,Ürün A,Ev,34,343.59,Ankara
2026-10-04,Ürün A,Ev,482,322.49,Gaziantep
2026-10-17,Ürün C,Ev,212,146.5,Konya
2026-03-18,Ürün B,Giyim,492,83.34,Adana
2026-05-23,Ürün C,Ev,224,121.84,Ankara
2026-10-10,Ürün C,Giyim,23,181.71,İstanbul
2026-07-27,Ürün C,Giyim,95,146.5,Ankara
2026-10-01,Ürün A,Elektronik,434,250.13,Adana
2026-04-18,Ürün A,Elektronik,497,344.77,Antalya
2026-07-07,Ürün C,Giyim,161,177.32,Antalya
2026-04-29,Ürün A,Ev,93,349.92,Gaziantep
2026-05-24,Ürün B,Ev,69,95.05,Konya
2026-05-01,Ürün C,Giyim,316,152.38,Konya
2026-04-21,Ürün A,Giyim,60,294.71,Gaziantep
2026-02-23,Ürün C,Giyim,101,189.68,Konya
2026-09-05,Ürün C,Giyim,432,193.78,Adana
2026-07-23,Ürün A,Giyim,194,348.53,Adana
2026-06-30,Ürün B,Ev,383,91.06,İstanbul
2026-02-06,Ürün B,Giyim,280,106.06,Konya
2026-04-09,Ürün A,Elektronik,470,343.66,Adana
2026-07-04,Ürün A,Elektronik,348,335.1,Ankara
2026-05-27,Ürün A,Giyim,329,348.4,Gaziantep
2026-02-14,Ürün A,Giyim,60,335.82,Antalya
2026-10-20,Ürün B,Giyim,135,111.27,Antalya
2026-10-16,Ürün B,Elektronik,233,77.64,Ankara
2026-04-14,Ürün C,Giyim,186,123.88,İstanbul
2026-10-28,Ürün C,Ev,458,197.51,İstanbul
2026-03-11,Ürün C,Elektronik,255,170.46,İstanbul
2026-06-24,Ürün C,Elektronik,446,169.49,İstanbul
2026-01-25,Ürün A,Elektronik,16,268.28,Ankara
2026-12-23,Ürün A,Giyim,231,331.67,Gaziantep
2026-03-26,Ürün A,Ev,193,316.15,İzmir
2026-11-05,Ürün C,Giyim,410,169.66,İstanbul
2026-09-05,Ürün C,Elektronik,446,157.73,İstanbul
2026-11-27,Ürün B,Elektronik,216,87.0,İstanbul
2026-04-13,Ürün A,Elektronik,325,305.7,Antalya
2026-09-04,Ürün C,Elektronik,21,168.83,Adana
2026-10-06,Ürün B,Ev,324,98.74,Gaziantep
2026-06-05,Ürün B,Elektronik,36,90.22,Ankara
2026-01-04,Ürün A,Elektronik,118,322.93,Ankara
2026-02-15,Ürün A,Ev,105,305.89,Antalya
2026-06-22,Ürün A,Giyim,283,267.69,İstanbul
2026-07-14,Ürün A,Ev,356,285.51,Gaziantep
2026-02-08,Ürün A,Elektronik,133,265.63,Ankara
2026-02-25,Ürün B,Elektronik,442,111.17,Adana
2026-06-19,Ürün A,Ev,119,271.64,Antalya
2026-12-15,Ürün C,Elektronik,406,140.33,Gaziantep
2026-01-11,Ürün A,Ev,432,285.76,Bursa
2026-06-20,Ürün B,Elektronik,22,119.89,Ankara
2026-01-06,Ürün C,Ev,413,127.05,Konya
2026-04-28,Ürün C,Giyim,408,121.13,İstanbul
2026-11-23,Ürün B,Elektronik,94,86.74,İzmir
2026-11-16,Ürün A,Ev,447,307.34,İstanbul
2026-04-14,Ürün A,Ev,382,308.53,Konya
2026-12-18,Ürün A,Giyim,348,346.83,İstanbul
2026-05-11,Ürün C,Ev,318,129.2,Antalya
2026-06-10,Ürün A,Giyim,429,337.85,Konya
2026-10-20,Ürün C,Giyim,426,166.22,İzmir
2026-04-18,Ürün C,Ev,217,134.52,Konya
2026-04-19,Ürün C,Giyim,478,150.43,Ankara
2026-08-27,Ürün A,Giyim,135,275.83,Antalya
2026-04-17,Ürün A,Giyim,439,315.74,İstanbul
2026-01-08,Ürün C,Ev,57,164.9,Antalya
2026-11-25,Ürün B,Elektronik,339,118.15,Adana
2026-03-02,Ürün B,Elektronik,105,118.8,Bursa
2026-11-26,Ürün B,Ev,253,84.66,Antalya
2026-06-28,Ürün A,Elektronik,315,275.51,İstanbul
2026-09-08,Ürün B,Elektronik,150,81.17,Antalya
2026-07-22,Ürün B,Elektronik,131,84.68,Konya
2026-01-07,Ürün A,Elektronik,368,329.06,İstanbul
2026-07-05,Ürün C,Elektronik,447,125.18,İzmir
2026-05-28,Ürün A,Ev,334,323.24,Konya
2026-04-12,Ürün B,Elektronik,66,108.93,İstanbul
2026-01-02,Ürün B,Elektronik,398,100.11,Gaziantep
2026-10-06,Ürün C,Giyim,422,163.61,Antalya
2026-02-25,Ürün C,Ev,473,134.29,İzmir
2026-03-07,Ürün C,Ev,101,156.29,Adana
2026-08-23,Ürün B,Ev,341,93.22,İstanbul
2026-03-27,Ürün B,Ev,85,72.05,İzmir
2026-10-18,Ürün A,Giyim,311,300.17,İstanbul
2026-11-23,Ürün B,Elektronik,430,103.11,Konya
2026-09-20,Ürün C,Ev,446,149.65,İzmir
2026-05-01,Ürün A,Ev,326,262.47,Konya
2026-01-21,Ürün C,Ev,276,156.95,Adana
2026-06-15,Ürün A,Ev,253,342.21,Gaziantep
2026-11-16,Ürün A,Elektronik,340,274.18,Ankara
2026-12-03,Ürün C,Ev,152,133.11,Konya
2026-10-07,Ürün B,Elektronik,490,79.88,Konya
2026-12-04,Ürün B,Giyim,102,70.39,Gaziantep
2026-09-08,Ürün C,Giyim,344,188.33,İzmir
2026-06-27,Ürün C,Giyim,469,189.75,Bursa
2026-09-06,Ürün B,Giyim,330,93.76,İstanbul
2026-05-05,Ürün C,Giyim,174,127.2,Konya
2026-11-02,Ürün C,Ev,82,176.55,İzmir
2026-05-26,Ürün B,Giyim,206,114.65,İzmir
2026-07-27,Ürün C,Ev,337,144.03,Konya
2026-11-15,Ürün B,Ev,262,77.22,Bursa
2026-07-22,Ürün B,Elektronik,353,91.1,Adana
2026-03-14,Ürün A,Ev,30,251.02,Ankara
2026-09-15,Ürün C,Ev,22,142.75,Antalya
2026-05-17,Ürün A,Ev,400,277.84,İzmir
2026-01-31,Ürün B,Giyim,247,95.11,Adana
2026-12-25,Ürün A,Ev,266,340.17,Bursa
2026-01-08,Ürün C,Ev,189,146.24,Bursa
2026-01-24,Ürün B,Ev,425,110.99,Adana
2026-07-02,Ürün B,Ev,252,71.27,Ankara
2026-05-20,Ürün B,Ev,425,70.13,Ankara
2026-10-21,Ürün B,Giyim,413,117.73,İzmir
2026-01-30,Ürün B,Ev,161,113.82,Gaziantep
2026-08-25,Ürün A,Giyim,316,250.04,İzmir
2026-04-22,Ürün B,Ev,200,115.41,Gaziantep
2026-12-09,Ürün B,Ev,200,114.58,İzmir
2026-03-09,Ürün C,Giyim,305,168.23,Konya
2026-02-17,Ürün C,Elektronik,447,160.05,Adana
2026-10-27,Ürün B,Elektronik,232,102.47,Adana
2026-11-17,Ürün A,Elektronik,266,313.15,Ankara
2026-09-01,Ürün B,Elektronik,64,107.24,Gaziantep
2026-04-06,Ürün A,Ev,128,298.71,İzmir
2026-11-14,Ürün A,Giyim,181,293.53,İzmir
2026-02-15,Ürün C,Elektronik,91,190.66,Adana
2026-10-29,Ürün B,Ev,323,112.92,Ankara
2026-05-13,Ürün C,Elektronik,105,131.01,İzmir
2026-09-04,Ürün B,Giyim,152,79.13,İstanbul
2026-03-13,Ürün A,Ev,73,298.99,Ankara
2026-10-29,Ürün A,Elektronik,239,256.01,Ankara
2026-03-19,Ürün C,Elektronik,131,196.95,Antalya
2026-07-27,Ürün C,Ev,497,171.07,Bursa
2026-05-24,Ürün A,Elektronik,314,295.99,Adana
2026-07-19,Ürün C,Giyim,87,145.79,Konya
2026-05-05,Ürün B,Ev,195,79.37,Gaziantep
2026-05-15,Ürün A,Giyim,121,340.81,Antalya
2026-10-05,Ürün C,Giyim,204,138.21,Antalya
2026-07-06,Ürün A,Giyim,280,336.94,Bursa
2026-07-19,Ürün C,Elektronik,242,187.76,Ankara
2026-12-08,Ürün C,Elektronik,73,192.39,İstanbul
2026-12-24,Ürün C,Ev,76,187.42,Antalya
2026-04-17,Ürün A,Elektronik,422,303.22,Adana
2026-02-25,Ürün A,Elektronik,228,337.74,Gaziantep
2026-10-04,Ürün A,Giyim,385,343.39,İstanbul
2026-10-21,Ürün C,Ev,16,161.07,İstanbul
2026-07-09,Ürün C,Giyim,483,154.56,Ankara
2026-05-23,Ürün A,Elektronik,280,259.29,Antalya
2026-10-13,Ürün B,Elektronik,223,82.23,Adana
2026-07-01,Ürün C,Ev,369,149.82,İstanbul
2026-12-22,Ürün B,Giyim,122,114.67,Antalya
2026-07-14,Ürün A,Ev,129,332.94,Ankara
2026-11-16,Ürün C,Ev,189,169.16,İstanbul
2026-05-28,Ürün B,Giyim,219,82.3,İstanbul
2026-05-24,Ürün C,Giyim,232,160.11,Adana
2026-06-30,Ürün A,Elektronik,27,333.56,Gaziantep
2026-06-09,Ürün B,Elektronik,243,119.97,Konya
2026-11-27,Ürün C,Ev,297,123.42,İzmir
2026-05-24,Ürün B,Giyim,343,71.36,Konya
2026-06-25,Ürün C,Elektronik,365,191.19,Adana
2026-01-20,Ürün B,Ev,265,84.5,Adana
2026-11-30,Ürün C,Ev,191,154.79,Ankara
2026-09-21,Ürün B,Giyim,308,77.64,Bursa
2026-02-10,Ürün B,Elektronik,392,72.95,Adana
2026-12-08,Ürün A,Ev,245,270.29,İzmir
2026-12-23,Ürün A,Giyim,358,338.76,İstanbul
2026-04-24,Ürün B,Elektronik,457,112.14,Antalya
2026-05-08,Ürün B,Giyim,352,104.7,Konya
2026-09-13,Ürün A,Elektronik,328,294.03,İzmir
2026-06-14,Ürün B,Ev,311,78.65,Ankara
2026-07-09,Ürün A,Ev,86,274.37,Antalya
2026-04-07,Ürün C,Elektronik,299,153.8,Adana
2026-01-14,Ürün C,Elektronik,443,147.33,Bursa
2026-09-23,Ürün A,Elektronik,145,327.17,Konya
2026-03-17,Ürün B,Giyim,153,79.87,Bursa
2026-09-19,Ürün B,Ev,189,93.83,Adana
2026-02-04,Ürün A,Giyim,85,327.66,İstanbul
2026-12-16,Ürün C,Giyim,334,196.2,Konya
2026-11-02,Ürün C,Ev,107,180.25,Bursa
2026-06-30,Ürün A,Giyim,307,308.97,İzmir
2026-12-06,Ürün B,Ev,89,97.46,İstanbul
2026-05-08,Ürün A,Ev,256,322.98,İzmir
2026-03-04,Ürün B,Giyim,446,72.69,Gaziantep
2026-01-27,Ürün B,Ev,34,111.97,Adana
2026-07-16,Ürün B,Giyim,282,95.91,Gaziantep
2026-01-14,Ürün A,Elektronik,59,327.83,Konya
2026-08-28,Ürün C,Elektronik,310,189.0,İstanbul
2026-09-13,Ürün A,Elektronik,330,324.03,Bursa
2026-03-28,Ürün A,Giyim,330,317.08,Gaziantep
2026-01-12,Ürün A,Giyim,446,257.11,Bursa
2026-10-02,Ürün C,Ev,52,192.99,İzmir
2026-02-25,Ürün C,Giyim,264,158.97,Ankara
2026-10-07,Ürün A,Elektronik,295,305.25,Konya
2026-10-02,Ürün B,Elektronik,198,111.55,Konya
2026-07-13,Ürün B,Ev,408,94.78,Ankara
2026-12-02,Ürün B,Elektronik,253,78.75,Konya
2026-07-14,Ürün C,Ev,454,129.43,Gaziantep
2026-04-16,Ürün C,Giyim,253,189.58,Antalya
2026-11-21,Ürün B,Giyim,62,107.75,İstanbul
2026-02-03,Ürün B,Elektronik,26,114.93,Antalya
2026-05-04,Ürün B,Ev,261,108.68,Antalya
2026-11-24,Ürün C,Giyim,342,190.58,Antalya
2026-09-11,Ürün A,Giyim,322,291.32,Antalya
2026-01-03,Ürün A,Elektronik,16,324.83,Konya
2026-12-23,Ürün A,Ev,462,261.57,Ankara
2026-08-24,Ürün A,Elektronik,229,330.02,Gaziantep
2026-10-17,Ürün A,Ev,69,339.57,Antalya
2026-09-25,Ürün C,Ev,245,189.87,Konya
2026-06-08,Ürün C,Ev,157,127.36,Gaziantep
2026-07-27,Ürün B,Ev,191,90.88,Gaziantep
2026-12-24,Ürün C,Ev,391,124.61,Antalya
2026-12-30,Ürün B,Ev,431,70.39,Bursa
2026-12-07,Ürün C,Ev,109,124.34,Ankara
2026-08-17,Ürün A,Ev,435,296.11,İzmir
2026-08-05,Ürün C,Ev,11,195.2,Konya
2026-06-04,Ürün C,Elektronik,308,191.59,Antalya
2026-12-21,Ürün C,Giyim,32,126.06,Antalya
2026-07-19,Ürün B,Elektronik,471,83.99,Bursa
2026-11-01,Ürün B,Giyim,75,117.54,Konya
2026-03-15,Ürün C,Elektronik,244,166.54,Adana
2026-05-09,Ürün C,Elektronik,180,192.66,Bursa
2026-07-25,Ürün B,Ev,284,102.44,İstanbul
2026-02-05,Ürün A,Elektronik,327,302.43,Adana
2026-07-12,Ürün C,Giyim,125,123.94,Ankara
2026-10-02,Ürün A,Elektronik,71,255.01,Bursa
2026-02-12,Ürün B,Giyim,77,104.54,Konya
2026-08-21,Ürün B,Elektronik,84,109.34,Ankara
2026-02-06,Ürün B,Ev,407,71.43,İzmir
2026-10-31,Ürün C,Ev,397,168.85,Gaziantep
2026-07-02,Ürün C,Elektronik,116,154.18,Bursa
2026-12-25,Ürün A,Ev,136,305.72,Gaziantep
2026-07-20,Ürün B,Giyim,130,86.24,Konya
2026-06-06,Ürün B,Ev,133,85.85,Antalya
2026-05-30,Ürün B,Ev,392,106.44,Antalya
2026-01-04,Ürün A,Elektronik,69,287.96,İzmir
2026-08-01,Ürün A,Giyim,68,308.33,Ankara
2026-11-20,Ürün C,Ev,406,186.19,İstanbul
2026-12-18,Ürün A,Elektronik,93,256.38,Gaziantep
2026-12-30,Ürün B,Giyim,377,90.87,Konya
2026-12-24,Ürün B,Ev,165,119.35,Gaziantep
2026-01-25,Ürün B,Elektronik,220,83.57,Konya
2026-06-25,Ürün B,Elektronik,279,102.45,İzmir
2026-09-16,Ürün B,Ev,494,111.16,Adana
2026-12-24,Ürün C,Elektronik,169,188.02,Gaziantep
2026-08-23,Ürün B,Giyim,151,90.89,Gaziantep
2026-05-26,Ürün B,Giyim,191,109.48,Gaziantep
2026-02-14,Ürün C,Ev,190,187.25,Adana
2026-02-04,Ürün B,Giyim,220,76.02,Antalya
2026-06-19,Ürün C,Giyim,160,134.12,Bursa
2026-05-13,Ürün C,Elektronik,194,168.45,Gaziantep
2026-10-19,Ürün A,Ev,322,264.57,Ankara
2026-09-12,Ürün C,Elektronik,328,122.56,Adana
2026-11-16,Ürün B,Ev,237,114.89,İzmir
2026-12-25,Ürün C,Elektronik,71,152.49,İstanbul
