date,product,category,sales_quantity,unit_price,region
2026-06-19,Product B,Home,142,104.11,Bursa
2026-04-23,Product B,Home,452,81.86,Adana
2026-03-09,Product A,Apparel,343,344.24,Konya
2026-07-29,Product A,Home,264,274.44,Ankara
2026-12-20,Product C,Home,366,153.85,Bursa
2026-11-21,Product A,Apparel,188,287.35,Adana
2026-10-14,Product C,Home,281,159.75,Ankara
2026-03-16,Product C,Apparel,491,162.94,Konya
2026-07-06,Product A,Electronics,237,290.04,Izmir
2026-07-21,Product B,Electronics,260,89.65,Konya
2026-07-08,Product A,Home,155,258.23,Konya
2026-03-30,Product A,Apparel,92,323.85,Bursa
2026-09-22,Product A,Electronics,449,344.93,Istanbul
2026-12-30,Product B,Electronics,358,70.12,Istanbul
2026-10-20,Product B,Home,308,105.15,Istanbul
2026-08-27,Product B,Apparel,94,89.48,Bursa
2026-10-30,Product C,Electronics,495,125.37,Antalya
2026-03-14,Product C,Electronics,426,188.87,Gaziantep
2026-10-30,Product C,Home,465,159.16,Istanbul
2026-07-14,Product C,Electronics,374,152.81,Gaziantep
2026-03-06,Product C,Electronics,126,128.11,Istanbul
2026-01-31,Product C,Home,119,144.16,Bursa
2026-12-10,Product B,Apparel,190,78.11,Istanbul
2026-10-20,Product C,Apparel,193,191.73,Gaziantep
2026-06-25,Product C,Home,17,129.29,Konya
2026-09-03,Product C,Apparel,159,177.43,Bursa
2026-09-28,Product B,Electronics,104,105.17,Antalya
2026-04-27,Product B,Home,386,74.96,Izmir
2026-04-24,Product C,Home,55,156.06,Adana
2026-02-10,Product B,Electronics,500,105.48,Istanbul
2026-03-14,Product C,Electronics,41,145.28,Izmir
2026-09-20,Product A,Electronics,95,258.38,Adana
2026-12-06,Product C,Electronics,370,143.87,Adana
2026-11-27,Product B,Apparel,246,96.88,Antalya
2026-03-03,Product C,Home,262,130.99,Izmir
2026-01-08,Product C,Home,362,176.49,Ankara
2026-03-27,Product C,Home,392,129.86,Konya
2026-12-09,Product A,Home,488,276.1,Konya
2026-12-31,Product C,Apparel,349,132.51,Konya
2026-12-26,Product C,Apparel,347,141.14,Istanbul
2026-07-01,Product A,Apparel,137,278.59,Bursa
2026-08-13,Product A,Home,449,326.91,Gaziantep
2026-01-20,Product B,Apparel,248,102.83,Izmir
2026-05-20,Product B,Electronics,25,106.18,Gaziantep
2026-10-13,Product A,Home,160,263.44,Antalya
2026-09-05,Product A,Electronics,322,289.67,Ankara
2026-06-28,Product C,Electronics,424,148.01,Konya
2026-10-01,Product A,Apparel,109,273.87,Izmir
2026-12-17,Product A,Electronics,500,289.67,Gaziantep
2026-07-24,Product A,Electronics,337,328.37,Istanbul
2026-12-08,Product A,Apparel,226,286.25,Izmir
2026-06-24,Product A,Electronics,471,300.49,Konya
2026-08-20,Product C,Home,20,138.93,Ankara
2026-02-10,Product B,Apparel,125,94.22,Bursa
2026-05-11,Product C,Home,340,139.52,Adana
2026-03-11,Product C,Home,400,160.83,Ankara
2026-06-19,Product B,Electronics,331,70.48,Bursa
2026-09-16,Product B,Apparel,266,102.28,Bursa
2026-10-05,Product B,Apparel,348,88.02,Izmir
2026-01-15,Product C,Apparel,479,199.3,Gaziantep
2026-05-16,Product A,Home,146,342.27,Istanbul
2026-07-10,Product A,Electronics,189,264.97,Konya
2026-04-27,Product C,Electronics,333,125.59,Adana
2026-12-21,Product B,Electronics,475,70.42,Izmir
2026-04-13,Product A,Home,285,259.83,Adana
2026-02-13,Product C,Home,15,144.87,Ankara
2026-08-13,Product A,Apparel,298,271.94,Izmir
2026-10-26,Product B,Home,382,71.17,Bursa
2026-10-03,Product B,Home,329,80.51,Izmir
2026-07-22,Product B,Electronics,465,93.93,Konya
2026-10-09,Product C,Electronics,151,126.42,Antalya
2026-10-13,Product B,Apparel,97,75.92,Istanbul
2026-08-03,Product B,Apparel,84,116.37,Izmir
2026-10-03,Product C,Home,36,172.91,Adana
2026-06-26,Product B,Electronics,472,77.24,Istanbul
2026-12-29,Product C,Apparel,162,193.23,Gaziantep
2026-01-26,Product C,Home,276,155.8,Izmir
2026-08-14,Product A,Apparel,232,284.71,Ankara
2026-06-15,Product C,Home,438,163.36,Istanbul
2026-10-12,Product B,Home,81,91.04,Adana
2026-01-13,Product C,Apparel,12,165.27,Adana
2026-09-13,Product B,Home,454,73.94,Istanbul
2026-01-27,Product C,Home,371,124.43,Antalya
2026-06-07,Product B,Apparel,209,72.46,Gaziantep
2026-02-27,Product C,Apparel,365,157.84,Ankara
2026-09-22,Product B,Electronics,44,107.65,Antalya
2026-04-12,Product B,Apparel,162,112.71,Konya
2026-02-24,Product B,Apparel,10,85.12,Bursa
2026-11-30,Product B,Apparel,166,112.31,Antalya
2026-06-15,Product C,Home,372,152.93,Konya
2026-06-07,Product B,Home,25,93.61,Adana
2026-06-10,Product A,Electronics,43,344.87,Istanbul
2026-12-15,Product A,Home,436,284.52,Istanbul
2026-04-13,Product A,Home,167,271.32,Ankara
2026-12-30,Product B,Apparel,421,78.29,Izmir
2026-02-10,Product B,Apparel,91,77.66,Adana
2026-11-24,Product B,Apparel,318,117.63,Antalya
2026-12-28,Product B,Home,83,77.6,Antalya
2026-12-22,Product B,Electronics,110,99.69,Antalya
2026-07-10,Product B,Home,173,76.95,Gaziantep
2026-08-04,Product C,Electronics,164,164.82,Antalya
2026-06-18,Product C,Apparel,258,166.6,Ankara
2026-11-16,Product A,Apparel,17,255.29,Adana
2026-11-21,Product A,Electronics,231,264.68,Ankara
2026-05-05,Product C,Electronics,186,177.66,Bursa
2026-11-24,Product A,Apparel,138,343.55,Konya
2026-06-28,Product C,Apparel,248,127.1,Adana
2026-08-25,Product A,Home,150,294.5,Gaziantep
2026-01-09,Product C,Home,236,176.25,Adana
2026-06-07,Product B,Electronics,432,72.8,Istanbul
2026-03-16,Product A,Electronics,47,346.62,Izmir
2026-11-09,Product A,Home,271,295.31,Gaziantep
2026-12-05,Product A,Apparel,315,292.07,Istanbul
2026-06-28,Product A,Home,495,267.62,Gaziantep
2026-11-08,Product A,Apparel,220,256.26,Izmir
2026-11-18,Product A,Home,479,298.89,Gaziantep
2026-08-03,Product B,Apparel,303,104.42,Istanbul
2026-05-12,Product C,Apparel,217,133.18,Antalya
2026-07-30,Product A,Electronics,179,300.87,Bursa
2026-10-24,Product C,Apparel,452,191.88,Ankara
2026-09-14,Product A,Home,216,274.71,Konya
2026-08-09,Product B,Home,311,102.1,Bursa
2026-03-19,Product C,Electronics,339,177.33,Gaziantep
2026-06-15,Product B,Apparel,446,117.81,Ankara
2026-06-13,Product C,Home,465,187.78,Istanbul
2026-02-20,Product B,Apparel,418,91.54,Antalya
2026-11-26,Product C,Apparel,201,139.48,Gaziantep
2026-03-09,Product C,Home,459,147.31,Adana
2026-05-18,Product A,Home,469,344.99,Bursa
2026-02-08,Product A,Electronics,244,342.2,Izmir
2026-11-07,Product C,Apparel,281,184.9,Ankara
2026-05-04,Product B,Home,352,108.16,Adana
2026-07-28,Product B,Home,139,85.33,Ankara
2026-09-09,Product B,Home,218,94.75,Bursa
2026-08-15,Product C,Apparel,422,169.67,Adana
2026-02-05,Product C,Electronics,362,163.83,Gaziantep
2026-03-07,Product A,Home,71,269.66,Izmir
2026-05-16,Product A,Electronics,34,323.03,Istanbul
2026-06-27,Product C,Home,361,186.35,Konya
2026-03-06,Product B,Apparel,431,88.65,Istanbul
2026-09-10,Product B,Electronics,256,71.74,Ankara
2026-12-17,Product B,Home,387,88.48,Konya
2026-07-12,Product B,Apparel,104,76.38,Konya
2026-08-17,Product C,Home,191,163.29,Gaziantep
2026-10-11,Product C,Home,453,180.38,Ankara
2026-11-20,Product B,Apparel,36,98.65,Izmir
2026-02-21,Product B,Electronics,440,103.93,Izmir
2026-08-28,Product A,Electronics,244,297.9,Konya
2026-11-11,Product B,Electronics,45,83.84,Gaziantep
2026-11-13,Product A,Electronics,274,334.51,Bursa
2026-07-07,Product B,Electronics,189,81.41,Bursa
2026-10-02,Product B,Electronics,76,94.7,Gaziantep
2026-04-12,Product A,Apparel,69,294.49,Bursa
2026-05-21,Product B,Apparel,352,101.35,Ankara
2026-12-06,Product B,Electronics,314,97.32,Izmir
2026-07-27,Product B,Electronics,22,72.3,Gaziantep
2026-03-22,Product B,Home,446,111.15,Bursa
2026-01-29,Product A,Home,237,298.39,Izmir
2026-11-26,Product C,Apparel,430,166.26,Bursa
2026-08-07,Product A,Apparel,242,308.69,Adana
2026-10-09,Product B,Electronics,417,108.05,Adana
2026-05-25,Product B,Apparel,270,82.44,Konya
2026-12-07,Product C,Electronics,290,129.39,Istanbul
2026-04-15,Product B,Electronics,139,117.69,Bursa
2026-06-25,Product A,Home,454,256.56,Antalya
2026-02-08,Product A,Apparel,342,329.8,Istanbul
2026-01-14,Product C,Home,333,163.92,Izmir
2026-07-06,Product C,Apparel,434,171.86,Izmir
2026-11-13,Product C,Home,48,139.02,Konya
2026-01-06,Product C,Electronics,126,192.08,Antalya
2026-08-06,Product A,Home,426,264.64,Konya
2026-09-06,Product B,Apparel,495,79.23,Adana
2026-03-09,Product C,Electronics,193,171.04,Ankara
2026-09-23,Product A,Apparel,498,347.63,Istanbul
2026-05-15,Product A,Apparel,414,255.57,Bursa
2026-01-31,Product B,Apparel,240,119.5,Antalya
2026-09-29,Product C,Home,253,198.29,Antalya
2026-12-13,Product C,Apparel,361,136.59,Bursa
2026-11-12,Product B,Apparel,323,73.28,Gaziantep
2026-10-17,Product C,Home,424,196.85,Adana
2026-06-09,Product A,Home,411,275.3,Adana
2026-03-30,Product C,Electronics,29,144.88,Antalya
2026-06-18,Product A,Home,141,319.51,Adana
2026-03-04,Product C,Apparel,263,193.65,Gaziantep
2026-02-01,Product B,Electronics,348,84.29,Bursa
2026-02-21,Product B,Electronics,373,86.99,Izmir
2026-05-16,Product B,Home,44,81.93,Adana
2026-03-23,Product A,Apparel,376,343.88,Adana
2026-09-19,Product B,Apparel,283,99.33,Adana
2026-10-09,Product B,Electronics,258,112.87,Izmir
2026-05-15,Product B,Electronics,115,106.37,Konya
2026-07-13,Product B,Home,309,97.59,Gaziantep
2026-06-12,Product C,Apparel,475,178.95,Konya
2026-07-26,Product B,Electronics,360,74.8,Adana
2026-09-26,Product A,Electronics,358,276.69,Istanbul
2026-02-16,Product B,Electronics,142,74.53,Gaziantep
2026-12-08,Product B,Electronics,440,76.69,Antalya
2026-06-16,Product A,Home,494,273.05,Ankara
2026-12-27,Product A,Electronics,445,342.9,Antalya
2026-12-10,Product C,Home,260,143.73,Istanbul
2026-02-28,Product A,Apparel,351,313.35,Gaziantep
2026-11-26,Product C,Electronics,296,189.41,Konya
2026-06-28,Product C,Electronics,102,141.04,Antalya
2026-02-03,Product A,Apparel,380,311.98,Antalya
2026-12-14,Product A,Home,209,337.3,Istanbul
2026-09-14,Product C,Apparel,55,143.67,Antalya
2026-05-01,Product C,Electronics,74,141.6,Istanbul
2026-06-30,Product B,Electronics,357,103.77,Izmir
2026-11-11,Product B,Electronics,204,70.58,Izmir
2026-07-24,Product A,Home,414,331.66,Gaziantep
2026-10-23,Product C,Apparel,182,150.07,Gaziantep
2026-05-24,Product B,Apparel,440,80.51,Konya
2026-01-17,Product A,Home,386,310.87,Ankara
2026-02-05,Product B,Home,282,82.55,Izmir
2026-05-16,Product C,Home,212,176.03,Ankara
2026-01-07,Product A,Apparel,174,344.7,Bursa
2026-01-06,Product B,Electronics,307,114.16,Izmir
2026-06-20,Product C,Electronics,45,147.96,Adana
2026-05-04,Product B,Home,378,105.92,Ankara
2026-06-12,Product B,Home,491,98.93,Antalya
2026-06-01,Product C,Apparel,371,185.37,Konya
2026-07-20,Product A,Electronics,283,263.78,Ankara
2026-08-28,Product A,Electronics,483,325.2,Antalya
2026-02-14,Product C,Home,345,135.51,Antalya
2026-07-14,Product B,Electronics,387,84.2,Ankara
2026-01-04,Product B,Electronics,432,96.84,Antalya
2026-08-20,Product A,Apparel,497,297.93,Gaziantep
2026-11-21,Product B,Home,366,74.23,Izmir
2026-06-05,Product C,Electronics,420,142.58,Antalya
2026-05-08,Product A,Apparel,343,272.62,Istanbul
2026-08-24,Product C,Apparel,408,120.82,Antalya
2026-03-07,Product C,Electronics,55,154.18,Konya
2026-05-08,Product B,Apparel,452,106.1,Izmir
2026-06-25,Product B,Electronics,249,83.14,Antalya
2026-06-20,Product C,Home,206,191.41,Istanbul
2026-09-29,Product B,Electronics,73,73.73,Bursa
2026-01-16,Product B,Electronics,35,76.63,Konya
2026-09-11,Product A,Apparel,188,311.57,Antalya
2026-02-06,Product A,Apparel,197,257.01,Bursa
2026-07-08,Product A,Home,161,309.59,Gaziantep
2026-07-09,Product B,Home,448,88.83,Istanbul
2026-06-15,Product A,Apparel,480,296.0,Bursa
2026-08-23,Product C,Home,458,176.38,Adana
2026-07-17,Product A,Apparel,109,319.68,Istanbul
2026-02-18,Product B,Home,409,93.52,Izmir
2026-11-08,Product B,Electronics,439,112.14,Gaziantep
2026-01-08,Product B,Apparel,181,118.99,Istanbul
2026-09-03,Product A,Home,43,286.39,Gaziantep
2026-07-09,Product B,Electronics,44,113.37,Bursa
2026-11-04,Product C,Electronics,275,169.81,Istanbul
2026-03-16,Product C,Apparel,83,191.08,Ankara
2026-02-19,Product C,Electronics,47,145.53,Bursa
2026-12-01,Product A,Home,462,282.38,Istanbul
2026-07-18,Product C,Home,473,133.62,Istanbul
2026-02-05,Product A,Home,108,308.75,Bursa
2026-12-25,Product A,Electronics,466,299.74,Izmir
2026-01-31,Product C,Home,347,198.2,Konya
2026-11-27,Product B,Home,235,106.45,Adana
2026-06-22,Product B,Apparel,478,100.11,Ankara
2026-09-15,Product B,Electronics,86,76.05,Ankara
2026-07-27,Product A,Home,98,293.05,Antalya
2026-01-25,Product B,Apparel,42,117.83,Antalya
2026-11-08,Product C,Electronics,355,122.57,Gaziantep
2026-08-28,Product C,Electronics,468,151.34,Istanbul
2026-01-27,Product B,Home,446,99.19,Gaziantep
2026-01-30,Product C,Home,461,157.82,Istanbul
2026-11-12,Product C,Apparel,31,197.28,Gaziantep
2026-08-04,Product C,Home,222,127.07,Ankara
2026-09-20,Product B,Electronics,21,74.44,Konya
2026-03-01,Product A,Electronics,231,268.53,Gaziantep
2026-02-17,Product A,Home,418,341.93,Antalya
2026-05-02,Product A,Home,351,278.3,Konya
2026-08-04,Product C,Electronics,70,146.71,Antalya
2026-10-31,Product A,Apparel,181,287.21,Gaziantep
2026-02-08,Product C,Home,193,129.73,Ankara
2026-02-23,Product C,Apparel,491,144.32,Konya
2026-04-27,Product B,Home,355,92.55,Ankara
2026-05-07,Product B,Home,333,119.08,Gaziantep
2026-08-03,Product A,Electronics,104,260.39,Bursa
2026-02-27,Product B,Electronics,264,82.78,Istanbul
2026-12-07,Product A,Home,54,333.92,Gaziantep
2026-04-20,Product C,Electronics,297,196.36,Gaziantep
2026-06-05,Product B,Home,160,78.24,Antalya
2026-10-17,Product A,Apparel,45,279.54,Konya
2026-09-08,Product C,Apparel,370,161.78,Konya
2026-10-08,Product C,Apparel,64,181.49,Istanbul
2026-04-22,Product B,Electronics,219,95.31,Adana
2026-05-19,Product B,Electronics,233,71.75,Gaziantep
2026-08-21,Product A,Apparel,213,279.61,Konya
2026-01-03,Product B,Home,210,88.28,Izmir
2026-07-14,Product A,Electronics,153,277.1,Adana
2026-11-15,Product B,Home,360,101.3,Antalya
2026-03-24,Product B,Electronics,358,105.38,Ankara
2026-05-01,Product B,Apparel,394,118.98,Antalya
2026-01-03,Product C,Home,463,169.16,Antalya
2026-07-14,Product B,Home,417,97.95,Antalya
2026-06-08,Product C,Apparel,163,173.12,Ankara
2026-05-18,Product A,Electronics,196,337.0,Gaziantep
2026-03-31,Product B,Home,481,83.47,Ankara
2026-09-20,Product C,Apparel,411,184.05,Ankara
2026-06-14,Product B,Home,491,73.77,Istanbul
2026-06-19,Product A,Electronics,468,308.05,Konya
2026-12-07,Product C,Apparel,382,199.81,Izmir
2026-03-21,Product B,Apparel,392,99.37,Konya
2026-01-10,Product C,Electronics,450,155.69,Ankara
2026-07-14,Product A,Electronics,324,318.59,Istanbul
2026-04-08,Product C,Apparel,469,199.33,Istanbul
2026-04-08,Product B,Home,53,88.9,Istanbul
2026-05-20,Product B,Apparel,484,103.1,Konya
2026-08-01,Product B,Electronics,454,91.93,Ankara
2026-11-23,Product A,Electronics,207,284.92,Bursa
2026-03-17,Product A,Apparel,319,339.78,Antalya
2026-11-24,Product C,Apparel,496,133.1,Adana
2026-03-14,Product A,Electronics,108,275.02,Antalya
2026-12-13,Product B,Apparel,425,110.89,Bursa
2026-01-09,Product B,Electronics,435,75.64,Konya
2026-11-25,Product C,Electronics,101,127.25,Gaziantep
2026-07-03,Product C,Electronics,124,167.55,Bursa
2026-01-16,Product B,Home,486,102.61,Adana
2026-07-07,Product A,Home,132,277.19,Istanbul
2026-03-26,Product C,Apparel,306,192.09,Ankara
2026-10-23,Product A,Apparel,146,321.7,Istanbul
2026-11-08,Product C,Apparel,468,155.13,Istanbul
2026-01-23,Product A,Home,26,302.24,Gaziantep
2026-11-22,Product B,Apparel,231,76.23,Antalya
2026-05-23,Product C,Electronics,461,181.26,Adana
2026-01-19,Product A,Apparel,245,253.06,Istanbul
2026-08-25,Product C,Electronics,308,129.76,Ankara
2026-06-25,Product B,Electronics,22,82.23,Konya
2026-01-16,Product C,Apparel,220,156.79,Bursa
2026-03-02,Product A,Home,202,337.22,Adana
2026-01-11,Product B,Home,135,102.97,Adana
2026-03-02,Product B,Electronics,203,88.44,Konya
2026-04-05,Product A,Home,170,254.33,Ankara
2026-05-14,Product C,Home,243,189.46,Bursa
2026-03-25,Product B,Home,364,105.73,Ankara
2026-11-17,Product C,Home,432,175.52,Izmir
2026-01-11,Product C,Electronics,428,185.64,Izmir
2026-05-02,Product C,Home,343,131.49,Konya
2026-03-03,Product B,Home,271,98.22,Ankara
2026-07-25,Product B,Home,188,77.16,Konya
2026-05-08,Product B,Home,19,118.73,Gaziantep
2026-07-23,Product C,Home,496,182.95,Konya
2026-05-04,Product A,Electronics,168,285.39,Ankara
2026-03-02,Product A,Apparel,330,314.48,Gaziantep
2026-04-27,Product C,Electronics,489,141.84,Gaziantep
2026-03-18,Product B,Electronics,167,102.77,Gaziantep
2026-05-05,Product B,Home,460,85.32,Istanbul
2026-01-09,Product A,Electronics,84,331.25,Istanbul
2026-12-11,Product B,Apparel,469,92.57,Ankara
2026-06-17,Product A,Apparel,470,305.34,Izmir
2026-12-09,Product B,Home,121,83.1,Ankara
2026-01-11,Product A,Electronics,174,271.79,Adana
2026-07-01,Product A,Electronics,282,327.32,Istanbul
2026-09-01,Product B,Home,284,104.84,Izmir
2026-05-29,Product B,Apparel,460,115.41,Ankara
2026-02-09,Product C,Electronics,180,185.46,Adana
2026-02-14,Product C,Apparel,425,183.92,Antalya
2026-09-27,Product A,Electronics,67,290.54,Gaziantep
2026-11-12,Product B,Apparel,380,85.01,Antalya
2026-01-29,Product A,Electronics,171,304.39,Adana
2026-04-04,Product A,Electronics,229,289.33,Antalya
2026-06-07,Product B,Apparel,298,79.31,Ankara
2026-06-09,Product C,Electronics,213,148.62,Antalya
2026-11-07,Product A,Home,41,271.88,Istanbul
2026-11-15,Product C,Electronics,176,153.67,Izmir
2026-10-31,Product B,Home,420,105.72,Izmir
2026-12-23,Product C,Apparel,364,163.74,Ankara
2026-03-02,Product A,Electronics,97,303.26,Adana
2026-02-04,Product B,Home,42,112.37,Bursa
2026-08-29,Product B,Electronics,343,90.97,Antalya
